index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
2415,195.3721,1.1450636,0.036266755,0.0,0,9.9668627,0.0,0.0021847603,14.28298,10.068676,449.39178,-9.2358074
2416,195.3723,1.2649105,0.033503309,0.0,0,9.9638624,0.0,0.0024836136,15.744018,10.065125,449.3924,-9.2360744
2417,195.3725,1.3764915,0.037599225,0.0,0,9.9608622,0.0,0.0025470962,17.18087,10.063822,449.39297,-9.2357759
2418,195.3727,1.4795942,0.041457593,0.0,0,9.9578629,0.0,0.0025209188,18.563547,10.06215,449.39359,-9.234622
2419,195.3729,1.5836056,0.036709331,0.0,0,9.9548626,0.0,0.0025880041,19.876019,10.0575,449.3942,-9.2345161
2420,195.3731,1.6803622,0.039031215,0.0,0,9.9518623,0.0,0.0026594729,21.124731,10.055156,449.39478,-9.2351093
2421,195.3733,1.7704811,0.043603584,0.0,0,9.9488621,0.0,0.0026480323,22.233992,10.052327,449.39539,-9.2351465
2422,195.3735,1.8705773,0.038117293,0.0,0,9.9458628,0.0,0.0026041833,23.482656,10.049535,449.39597,-9.2351561
2423,195.3737,1.9693559,0.039591737,0.0,0,9.9428625,0.0,0.0027211478,24.720766,10.048755,449.4079,-9.2352753
2424,195.3739,2.0586789,0.046225488,0.0,0,9.9398623,0.0,0.002776678,25.900331,10.044333,449.44614,-9.2349606
2425,195.3741,2.1635962,0.042708013,0.0,0,9.936862,0.0,0.0028220012,27.137476,10.041588,449.48438,-9.2348366
2426,195.3743,2.279722,0.045879457,0.0,0,9.9338627,0.0,0.0031370628,28.538136,10.039484,449.52264,-9.2349443
2427,195.3745,2.3985794,0.052474182,0.0,0,9.9308624,0.0,0.0032156522,30.072865,10.038229,449.56088,-9.2343998
2428,195.3747,2.5140972,0.047117621,0.0,0,9.9278622,0.0,0.0031537691,31.544922,10.036516,449.59912,-9.2344246
2429,195.3749,2.633831,0.048775002,0.0,0,9.9248629,0.0,0.0034462188,33.104836,10.031282,449.63739,-9.2343798
2430,195.3751,2.7524977,0.054664165,0.0,0,9.9218626,0.0,0.0034664921,34.67178,10.028195,449.67563,-9.2338228
2431,195.3753,2.8581464,0.048631746,0.0,0,9.9188623,0.0,0.0032616898,36.065823,10.027078,449.7139,-9.2336807
2432,195.3755,2.9578526,0.049548559,0.0,0,9.915863,0.0,0.0035552087,37.319359,10.024904,449.75214,-9.2332268
2433,195.3757,3.0501318,0.057089198,0.0,0,9.9128628,0.0,0.0036188096,38.43763,10.02203,449.79037,-9.2328873
2434,195.3759,3.1344097,0.05381548,0.0,0,9.9098625,0.0,0.0034374529,39.504963,10.019212,449.82864,-9.2332363
2435,195.3761,3.2170477,0.054968305,0.0,0,9.9068623,0.0,0.0038433739,40.618252,10.015784,449.86688,-9.2335691
2436,195.3763,3.2970784,0.061953939,0.0,0,9.903863,0.0,0.0040271971,41.66489,10.012792,449.90512,-9.233799
2437,195.3765,3.3682575,0.059069213,0.0,0,9.9008627,0.0,0.0038257495,42.639889,10.010141,449.94339,-9.2344408
2438,195.3767,3.4337697,0.059968259,0.0,0,9.8978624,0.0,0.0041804542,43.527073,10.005765,449.98163,-9.2348928
2439,195.3769,3.5057483,0.067186676,0.0,0,9.8948622,0.0,0.0044596288,44.402615,10.002457,450.0199,-9.2351789
2440,195.3771,3.5728016,0.066264421,0.0,0,9.8918629,0.0,0.0042552799,45.154243,10.000644,450.05814,-9.2346878
2441,195.3773,3.6253016,0.06750679,0.0,0,9.8888626,0.0,0.0046242638,45.795132,9.9970121,450.09637,-9.2332029
2442,195.3775,3.672303,0.07396955,0.0,0,9.8858624,0.0,0.0049831267,46.474506,9.9962883,450.13464,-9.2327967
2443,195.3777,3.7075992,0.074655011,0.0,0,9.8828621,0.0,0.0048073581,47.048164,9.9926424,450.17288,-9.2332277
2444,195.3779,3.7457886,0.076324046,0.0,0,9.8798628,0.0,0.0051921098,47.391159,9.987689,450.21112,-9.2329769
2445,195.3781,3.7734728,0.081827529,0.0,0,9.8768625,0.0,0.00557714,47.616722,9.9864712,450.24939,-9.2324886
2446,195.3783,3.7894971,0.083413705,0.0,0,9.8738623,0.0,0.0053699454,47.889626,9.9825735,450.28763,-9.232213
2447,195.3785,3.8058965,0.085693516,0.0,0,9.870862,0.0,0.0057103327,48.143162,9.9781179,450.3259,-9.2316656
2448,195.3787,3.8256588,0.089784198,0.0,0,9.8678627,0.0,0.0061368598,48.458755,9.9747686,450.36414,-9.2316856
2449,195.3789,3.856226,0.091198072,0.0,0,9.8648624,0.0,0.0059350426,48.747314,9.9721346,450.40237,-9.2322702
2450,195.3791,3.8883061,0.093314461,0.0,0,9.8618622,0.0,0.0062325499,49.06311,9.9692554,450.44064,-9.2328415
2451,195.3793,3.9255426,0.097232461,0.0,0,9.8588619,0.0,0.0066862549,49.487267,9.9640341,450.47888,-9.23283
2452,195.3795,3.9636188,0.10177583,0.0,0,9.8558626,0.0,0.0066191414,49.972298,9.9602518,450.51712,-9.2322836
2453,195.3797,3.9880319,0.10516571,0.0,0,9.8528624,0.0,0.0069441954,50.282745,9.9582396,450.55539,-9.2317572
2454,195.3799,3.9970121,0.10752915,0.0,0,9.8498631,0.0,0.0074464218,50.409683,9.9550323,450.59363,-9.2317448
2455,195.3801,4.0014734,0.11243403,0.0,0,9.8468618,0.0,0.0073994994,50.574604,9.9511681,450.6319,-9.2322788
2456,195.3803,4.0102782,0.11704065,0.0,0,9.8438616,0.0,0.0076137399,50.660576,9.9470654,450.67014,-9.2322969
2457,195.3805,4.0256557,0.1185147,0.0,0,9.8408623,0.0,0.0080931121,50.796379,9.94347,450.70837,-9.2334194
2458,195.3807,4.0385833,0.12360647,0.0,0,9.837863,0.0,0.0081790648,51.002953,9.9399767,450.74664,-9.2340984
2459,195.3809,4.0616827,0.12781394,0.0,0,9.8348627,0.0,0.0083593912,51.254627,9.9344015,450.78488,-9.2338247
2460,195.3811,4.0943642,0.12715651,0.0,0,9.8318624,0.0,0.0087399306,51.581867,9.9306164,450.82312,-9.2339201
2461,195.3813,4.1200109,0.13365722,0.0,0,9.8288622,0.0,0.0089157382,51.947094,9.9283381,450.86139,-9.2337971
2462,195.3815,4.1426859,0.13901356,0.0,0,9.8258629,0.0,0.0090677785,52.290733,9.9256191,450.89963,-9.2330627
2463,195.3817,4.1654058,0.13691515,0.0,0,9.8228626,0.0,0.0093747098,52.499435,9.9208689,450.9379,-9.2322979
2464,195.3819,4.1762042,0.14362429,0.0,0,9.8198624,0.0,0.0096162511,52.634163,9.9162378,450.97614,-9.2320023
2465,195.3821,4.1740646,0.15096821,0.0,0,9.8168621,0.0,0.0097532412,52.645176,9.9138441,451.01437,-9.2319965
2466,195.3823,4.1735992,0.14827158,0.0,0,9.8138628,0.0,0.0099510169,52.593777,9.9114399,451.05264,-9.2320766
2467,195.3825,4.181426,0.15335874,0.0,0,9.8108625,0.0,0.01027495,52.688629,9.908061,451.09088,-9.2327604
2468,195.3827,4.1981821,0.1617211,0.0,0,9.8078623,0.0,0.010488114,52.855827,9.9038582,451.12912,-9.2332792
2469,195.3829,4.2216368,0.1585362,0.0,0,9.804862,0.0,0.010678283,53.122696,9.9000769,451.16739,-9.2331953
2470,195.3831,4.2486463,0.16324553,0.0,0,9.8018627,0.0,0.011038364,53.450199,9.8971109,451.20563,-9.2329206
2471,195.3833,4.2735605,0.17266099,0.0,0,9.7988625,0.0,0.011213572,53.736797,9.8945322,451.2439,-9.2323351
2472,195.3835,4.288475,0.16920146,0.0,0,9.7958622,0.0,0.011358545,53.944813,9.8895922,451.28214,-9.2327938
2473,195.3837,4.2958369,0.17281641,0.0,0,9.7928629,0.0,0.011767647,54.051373,9.8854294,451.32303,-9.2328205
2474,195.3839,4.2975607,0.18215926,0.0,0,9.7898626,0.0,0.011974443,54.117481,9.8814058,451.37442,-9.2328644
2475,195.3841,4.29392,0.1801572,0.0,0,9.7868624,0.0,0.012037257,54.09938,9.8766651,451.42581,-9.2328501
2476,195.3843,4.2912459,0.18371576,0.0,0,9.7838631,0.0,0.01249755,54.073887,9.8744287,451.4772,-9.232316
2477,195.3845,4.2977924,0.19222228,0.0,0,9.7808628,0.0,0.012691963,54.111206,9.8709869,451.52859,-9.2326031
2478,195.3847,4.3076034,0.18958689,0.0,0,9.7778625,0.0,0.012619925,54.188923,9.867671,451.58002,-9.2330322
2479,195.3849,4.3215799,0.19307877,0.0,0,9.7748623,0.0,0.013110952,54.344357,9.863719,451.63141,-9.2327394
