level_0,index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
1773,1773,145.344,0.23975359,0.024506604,0.0,0,9.0337057,0.0,0.0014372726,2.9616592,10.069864,297.0473,-9.3270226
1774,1774,145.3442,0.67498302,0.029173156,0.0,0,9.0044422,0.0,0.0018191256,6.8545852,10.029707,297.18936,-9.3261509
1775,1775,145.3444,2.1631949,0.049269363,0.0,0,8.9751778,0.0,0.0032104224,22.963528,9.9982567,297.33145,-9.3259602
1776,1776,145.3446,4.0969243,0.080422536,0.0,0,8.9459143,0.0,0.004768237,47.139603,9.9733315,297.47351,-9.325407
1777,1777,145.3448,5.43332,0.10671946,0.0,0,8.9166498,0.0,0.0067349165,65.958214,9.946373,297.6156,-9.3254757
1778,1778,145.345,6.0326967,0.12570255,0.0,0,8.8873854,0.0,0.0084791156,75.01403,9.9145584,297.75766,-9.3248968
1779,1779,145.3452,6.3569407,0.16099629,0.0,0,8.8581219,0.0,0.010148327,79.13736,9.8769016,297.89975,-9.3230429
1780,1780,145.3454,6.8743939,0.22297813,0.0,0,8.8288574,0.0,0.013848256,84.873169,9.8345222,298.04181,-9.3220072
1781,1781,145.3456,7.3267646,0.29482281,0.0,0,8.7995939,0.0,0.019113019,90.571579,9.7908669,298.1839,-9.3217516
1782,1782,145.3458,7.5201321,0.35457966,0.0,0,8.7703295,0.0,0.023194982,93.201424,9.7433014,298.32596,-9.320857
1783,1783,145.346,7.7762637,0.3895314,0.0,0,8.7416534,0.0,0.025681039,95.620819,9.693017,298.46805,-9.3208256
1784,1784,145.3462,8.2466478,0.41919085,0.0,0,8.7136869,0.0,0.028092105,100.86617,9.6417789,298.61014,-9.3217077
1785,1785,145.3464,8.6234789,0.47342542,0.0,0,8.6858492,0.0,0.031301249,105.64162,9.590601,298.7522,-9.3217506
1786,1786,145.3466,8.8832359,0.5300681,0.0,0,8.6580172,0.0,0.034997396,108.5302,9.5410538,298.89429,-9.3211622
1787,1787,145.3468,9.2731981,0.5559299,0.0,0,8.6301851,0.0,0.037709825,112.67986,9.4965296,299.03635,-9.3203831
1788,1788,145.347,9.5731363,0.56852031,0.0,0,8.6023531,0.0,0.038620699,116.74805,9.4563799,299.17844,-9.31987
1789,1789,145.3472,9.4947176,0.58704484,0.0,0,8.5745211,0.0,0.039309215,116.703,9.4174271,299.3205,-9.3191042
1790,1790,145.3474,9.2214079,0.61662024,0.0,0,8.546689,0.0,0.041572876,113.27837,9.3813219,299.46259,-9.3187246
1791,1791,145.3476,9.2330933,0.66460198,0.0,0,8.518857,0.0,0.04482374,112.10602,9.3489609,299.63373,-9.3194036
1792,1792,145.3478,9.5791559,0.70545208,0.0,0,8.491025,0.0,0.047355045,115.30857,9.3140116,299.84842,-9.3195124
1793,1793,145.348,9.8928461,0.71991271,0.0,0,8.4631929,0.0,0.04896114,119.2053,9.2790155,300.06314,-9.3193951
1794,1794,145.3482,10.040001,0.7448312,0.0,0,8.4353609,0.0,0.050769269,121.21732,9.2479,300.27786,-9.3192167
1795,1795,145.3484,10.181137,0.78880799,0.0,0,8.4075289,0.0,0.05311083,122.6112,9.2121534,300.49255,-9.3173561
1796,1796,145.3486,10.336252,0.8309052,0.0,0,8.3796968,0.0,0.056226991,124.14122,9.1711178,300.70728,-9.317256
1797,1797,145.3488,10.287655,0.88365239,0.0,0,8.3518648,0.0,0.060197625,123.68961,9.13134,300.922,-9.3183212
1798,1798,145.349,10.081918,0.93754166,0.0,0,8.3240328,0.0,0.06359636,120.99233,9.0888424,301.13672,-9.3178396
1799,1799,145.3492,10.025558,0.9719578,0.0,0,8.2962008,0.0,0.066340491,119.40154,9.0457335,301.35141,-9.3180189
1800,1800,145.3494,10.228688,1.010178,0.0,0,8.2683687,0.0,0.069441438,120.88017,9.0045547,301.56613,-9.3183289
1801,1801,145.3496,10.435887,1.0542206,0.0,0,8.2405367,0.0,0.072135657,123.22778,8.9635935,301.78085,-9.3176537
1802,1802,145.3498,10.470138,1.0814517,0.0,0,8.2127056,0.0,0.074222215,123.80572,8.9247808,301.99554,-9.3174477
1803,1803,145.35,10.502933,1.1050317,0.0,0,8.1848736,0.0,0.076477222,123.72523,8.8881111,302.21027,-9.3172808
1804,1804,145.3502,10.702363,1.1307281,0.0,0,8.1570406,0.0,0.077997483,125.49137,8.8539467,302.42499,-9.3169661
1805,1805,145.3504,10.89937,1.1494901,0.0,0,8.1292095,0.0,0.079090528,127.8892,8.820384,302.63971,-9.3168688
1806,1806,145.3506,10.824387,1.1798816,0.0,0,8.1013775,0.0,0.081652738,127.34,8.7885733,302.8544,-9.3168221
1807,1807,145.3508,10.616399,1.2202802,0.0,0,8.0735445,0.0,0.084366769,124.61309,8.7612543,303.06912,-9.3167858
1808,1808,145.351,10.643174,1.2454337,0.0,0,8.0462675,0.0,0.086013503,124.04364,8.7359686,303.28384,-9.316906
1809,1809,145.3512,10.909953,1.2679989,0.0,0,8.0196619,0.0,0.088165604,126.50885,8.7065191,303.49854,-9.3178587
1810,1810,145.3514,11.088717,1.3032984,0.0,0,7.993176,0.0,0.090585731,128.67365,8.6759596,303.71326,-9.3181505
1811,1811,145.3516,11.06525,1.3412689,0.0,0,7.9666953,0.0,0.092832141,128.55331,8.645298,303.92798,-9.3179359
1812,1812,145.3518,11.035163,1.3821641,0.0,0,7.9402156,0.0,0.096188322,127.67978,8.612402,304.14267,-9.318058
1813,1813,145.352,11.10371,1.4243093,0.0,0,7.9137354,0.0,0.099438041,127.82006,8.5769596,304.35739,-9.3172951
1814,1814,145.3522,11.12128,1.4575802,0.0,0,7.8872552,0.0,0.10152095,127.96616,8.5397215,304.57211,-9.3163204
1815,1815,145.3524,11.030787,1.4900789,0.0,0,7.860775,0.0,0.10420182,126.77687,8.5036287,304.78683,-9.3164949
1816,1816,145.3526,11.000898,1.526148,0.0,0,7.8342953,0.0,0.10704058,125.8205,8.4682045,305.00153,-9.3164482
1817,1817,145.3528,11.118885,1.555563,0.0,0,7.8078156,0.0,0.10884453,126.65689,8.4349031,305.21625,-9.3165102
1818,1818,145.353,11.255994,1.5762843,0.0,0,7.7813349,0.0,0.11073799,128.12921,8.405838,305.43097,-9.3164902
1819,1819,145.3532,11.288161,1.594844,0.0,0,7.7548552,0.0,0.11253296,128.46021,8.3768616,305.64566,-9.3160686
1820,1820,145.3534,11.291595,1.6179554,0.0,0,7.728375,0.0,0.11363472,128.27275,8.3475466,305.86038,-9.3164387
1821,1821,145.3536,11.360223,1.643968,0.0,0,7.7018952,0.0,0.11550308,128.70374,8.3210449,306.0751,-9.3168306
1822,1822,145.3538,11.412272,1.6720268,0.0,0,7.675415,0.0,0.11806323,129.0699,8.2941923,306.28983,-9.3164644
1823,1823,145.354,11.381575,1.7030371,0.0,0,7.6489348,0.0,0.11997525,128.6608,8.2678795,306.50452,-9.3157015
1824,1824,145.3542,11.368727,1.7258693,0.0,0,7.6224551,0.0,0.12168726,128.19824,8.2422838,306.71924,-9.3154974
