Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
0.0,1.0312725,33.652531,0.0,0,11.076097,0.00074825424,9.6158056,0.00087472814,11.076232,22.49999,-9.1286716
0.1,1.0329846,4.0098691,0.0,0,11.076097,0.21959013,1.146268,11.592924,11.075663,22.430883,-9.4693556
0.2,1.0261179,0.17200144,0.0,0,11.076097,0.51607656,0.049506336,12.992958,11.076158,22.428553,-9.4892302
0.3,1.0243751,0.0056315213,0.0,0,11.076097,0.81592512,0.0019878524,13.034188,11.076874,22.503071,-9.4909248
0.4,1.0243282,-0.0014268457,0.0,0,11.076097,1.1159174,-3.0843275e-05,13.046981,11.075744,22.474905,-9.4914522
0.5,1.0198812,-0.0018635922,0.0,0,11.076097,1.4159185,-7.9509533e-05,12.990024,11.075761,22.434839,-9.4916086
0.6,1.0087371,-0.001661118,0.0,0,11.076097,1.7159176,-0.00011792995,12.836586,11.075778,22.492559,-9.4914989
0.7,0.99917406,-0.0016733336,0.0,0,11.076097,2.0159168,-0.00013032075,12.719769,11.07605,22.500139,-9.4913921
0.8,0.98893142,-0.002040464,0.0,0,11.076097,2.315918,-0.00014539798,12.587572,11.076718,22.460098,-9.4908705
0.9,0.982651,-0.0019866787,0.0,0,11.076097,2.6159165,-9.3785377e-05,12.519046,11.076202,22.509663,-9.4904699
1.0,0.98369759,-0.0019349556,0.0,0,11.076097,2.9159181,-0.00013915137,12.523504,11.076269,22.473795,-9.4902678
1.1,0.97874224,-0.0018848738,0.0,0,11.076097,3.2159173,-0.00013779766,12.470338,11.075972,22.459009,-9.4900265
1.2,0.97232652,-0.0018351701,0.0,0,11.076097,3.5159166,-0.00013324975,12.366055,11.075746,22.478724,-9.489378
1.3,0.9819476,-0.002066426,0.0,0,11.076097,3.8159177,-9.1898379e-05,12.506516,11.075982,22.527664,-9.4893646
1.4,0.97091895,-0.001715377,0.0,0,11.076097,4.1159153,-0.00012658954,12.361072,11.076015,22.510086,-9.4889317
1.5,0.96491808,-0.001759053,0.0,0,11.076097,4.4159179,-0.00012910659,12.281281,11.076055,22.482649,-9.4887905
1.6,0.96656072,-0.0016631515,0.0,0,11.076097,4.7159166,-0.00012088338,12.313128,11.076582,22.496155,-9.4887533
1.7,0.96293318,-0.0020146666,0.0,0,11.076097,5.0159168,-8.8169239e-05,12.257789,11.076177,22.537075,-9.4883471
1.8,0.96700656,-0.0017463593,0.0,0,11.076097,5.315917,-0.00013548513,12.312787,11.076381,22.489328,-9.4883661
1.9,0.96541709,-0.0017209732,0.0,0,11.076097,5.6159163,-0.00012377472,12.302255,11.076385,22.518221,-9.4884109
2.0,0.96756166,-0.0015840924,0.0,0,11.076097,5.9159169,-0.00011822904,12.326617,11.075924,22.512205,-9.48839
2.1,0.96652508,-0.0021104768,0.0,0,11.076097,6.2159166,-9.354455e-05,12.310096,11.076646,22.478258,-9.4888058
2.2,0.96855754,-0.0016218695,0.0,0,11.076097,6.5159163,-0.00012276099,12.330278,11.076909,22.49082,-9.488986
2.3,0.95308334,-0.0014956445,0.0,0,11.076097,6.8159161,-9.7357384e-05,12.150308,11.075905,22.463835,-9.4883623
2.4,0.94823927,-0.0016822367,0.0,0,11.076097,7.1159148,-0.00013359405,12.069657,11.075719,22.460625,-9.4876127
2.5,0.95735586,-0.0018366134,0.0,0,11.076097,7.4159169,-7.9035148e-05,12.184851,11.075827,22.506496,-9.4876575
2.6,0.95770538,-0.0015159582,0.0,0,11.076097,7.7159162,-0.00011586697,12.194129,11.07579,22.497231,-9.4876938
